,op_name,start_date,end_date,location_1,location_2,location_3,location_4
224,Operation Tiger Coronado V,1967-07-28,1967-08-01,Dinh Tuong,,,
225,Operation Tiger Coronado,1967-08-23,1967-08-23,Long An,,,
226,Operation Toan Thang 43,1970-05-01,1970-06-30,Tay Ninh,Binh Long,Phuoc Long,
227,Operation Toan Thang II,1968-06-01,1969-02-16,Binh Duong,Gia Dinh,Hau Nghia,Long An
228,Operation Toan Thang III,1969-02-16,1969-10-31,Tay Ninh,Binh Duong,Gia Dinh,Hau Nghia
229,Operation Toledo,1966-08-09,1966-09-07,Binh Tuy,Phuoc Tuy,,
230,Operation Truong Cong Dinh,1968-03-01,1968-05-21,Long An,Dinh Tuong,,
231,Operation Tucson,1967-02-14,1967-02-21,Binh Long,,,
232,Operation Tulsa,1966-10-08,1966-10-16,Binh Duong,Binh Long,,
233,Operation Utah Mesa,1969-06-11,1969-07-09,Quang Tri,,,
234,Operation Valdosta,1967-09-01,1967-09-06,Long Khanh,,,
235,Operation Van Buren,1966-01-17,1966-02-21,Phu Yen,,,
236,Operation Vance Canyon,1968-06-20,1968-07-02,Quang Ngai,,,
237,Operation Vernon Lake I,1968-10-25,1968-11-02,Quang Ngai,,,
238,Operation Vernon Lake II,1968-11-02,1969-02-28,Quang Ngai,,,
239,Operation Vin Loc,1968-09-10,1968-09-20,Thua Thien,,,
240,Operation Waco,1966-11-24,1966-12-02,Bien Hoa,,,
241,Operation Wahiawa,1966-05-16,1966-05-27,Hau Nghia,,,
242,Operation Walker,1968-01-16,1969-01-31,Binh Dinh,Pleiku,,
243,Operation Wallowa,1968-11-11,1968-11-11,Quang Nam,Quang Tin,,
244,Operation Wasco Rapids,1971-03-12,1971-03-27,Quang Ngai,,,
245,Operation Washington Green,1969-04-15,1970-12-31,Binh Dinh,,,
246,Operation Waycross,1966-03-12,1966-03-25,Binh Duong,,,
247,Operation Wheeler,1967-09-11,1967-11-25,Quang Tin,,,
248,Operation Winchester,1966-10-08,1966-12-04,Quang Nam,Da Nang,,
249,Operation Worth,1968-03-12,1968-03-26,Quang Nam,,,
250,Operation Yellowstone,1967-12-07,1968-02-24,Tay Ninh,,,
251,Operation York Market,1970-01-30,1970-04-16,Quang Tri,,,
252,Operation Yorktown,1966-06-23,1966-07-09,Xuan Loc,,,
253,Battle of Quang Tri City,1968-01-31,1968-02-01,Quang Tri,,,
254,Battle of Que Son Valley,1967-04-19,1967-09-15,Quang Nam,Quang Tin,,
